Name,AccountNumber,Phone,AnnualRevenue,External_Id__c
CloudBat,98-113-6824,8949839319,9999,A001
Hartmann Inc,03-740-5920,2855938232,10000,A002
Walker-Labadie,90-328-4529,9455900766,9999,A003
Bradtke-Blick,20-629-2855,1098392565,9999,A004
Cummings LLC,71-588-1137,3545274579,10000,A005
Mills and Sons,77-865-6547,3972026660,9999,A006
Zieme Group,07-298-1572,1416742045,9999,A007
"Jacobs, Pollich and Lockman",72-804-9589,5611525837,10000,A008
"Homenick, Jones and Kutch",53-744-8998,4324269073,9999,A009
"Hilll, Buckridge and Jenkins",07-221-0572,4845369600,10000,A010
Considine LLC,70-342-8442,8295558679,9999,A011
Armstrong Inc,13-529-5087,9254645998,10000,A012
Littel-Schaefer,09-072-9320,2935601207,9999,A013
"Veum, Toy and Lebsack",74-147-0106,3357636452,9999,A014
"Hermiston, Rath and Dicki",54-535-3619,3725367021,10000,A015
Mante and Sons,74-533-3967,7647793372,10000,A016
Zemlak-Hudson,59-845-0109,7527400821,9999,A017
Lockman-Huel,93-114-1248,8165225740,9999,A018
Kunde and Sons,45-235-5805,7403976174,9999,A019
Lehner-Franecki,35-118-7538,7708681074,9999,A020
Leuschke and Sons,23-934-4165,8563633909,9999,A021
"Welch, Rempel and Haag",83-549-7974,5382895995,10000,A022
"Spinka, Reichel and Vandervort",49-465-0964,8397891040,9999,A023
Conroy-Fisher,90-370-0835,8934623418,9999,A024
Torp Inc,57-853-1302,2805011621,9999,A025
Waelchi-MacGyver,24-469-9735,6287683365,9999,A026
"Hilpert, Schaden and Daugherty",21-043-9856,8823002365,9999,A027
"Considine, Reynolds and Beatty",39-976-8886,7917271918,9999,A028
Mitchell-Zemlak,79-394-1486,8739162121,9999,A029
Kemmer and Sons,56-736-0013,5995194453,10000,A030
Yost and Sons,95-713-3205,9597074878,9999,A031
"Corwin, Leffler and Daniel",48-515-1821,5153513626,9999,A032
Wisozk-Quigley,45-829-2326,6681199399,9999,A033
Crona-Runte,49-138-2400,1836270547,9999,A034
"Kertzmann, Heidenreich and Hermann",29-518-3565,3675381018,10000,A035
"Kunde, Okuneva and Brekke",02-700-8150,5335500782,10000,A036
McKenzie-Ryan,85-606-3294,1893552943,9999,A037
Olson-McCullough,99-902-4194,8936733550,9999,A038
Kirlin LLC,49-628-0529,4939554077,9999,A039
Murphy-Marks,47-245-0539,9048871440,9999,A040
Miller Group,44-865-1154,9939874567,10000,A041
"Schamberger, Armstrong and Goodwin",20-164-3411,9813581941,10000,A042
Kuhlman and Sons,51-402-4355,5817566113,10000,A043
"Koss, Ullrich and Halvorson",28-704-7721,1788984068,10000,A044
Wehner-Kirlin,55-326-1899,4502145439,9999,A045
"Carter, Wolff and Oberbrunner",76-431-8478,6744283467,9999,A046
"Hettinger, Langworth and Kshlerin",54-586-4684,7341149202,9999,A047
Wuckert-Hermiston,72-777-5963,3795108254,9999,A048
"Jones, Hammes and Effertz",88-463-7304,5396744614,10000,A049
Aufderhar-Schamberger,41-045-0247,8363668854,10000,A050
Kautzer Inc,75-029-0322,2112990976,10000,A051
"Ankunding, Donnelly and Schiller",53-440-9283,7603976504,10000,A052
Gutmann-Stoltenberg,10-900-4449,4529192652,9999,A053
"Bayer, Halvorson and Hartmann",98-747-0383,8425310853,10000,A054
Fisher and Sons,00-607-9788,5042772742,9999,A055
Gulgowski LLC,40-370-3251,2519630298,9999,A056
Grimes-Walsh,07-332-5583,3218204453,10000,A057
